Yield_stress(MPa),Bending_strength(GPa)
94.26576422168735,186.91493262662124
122.03118885808996,230.96260801289606
107.55099844622801,203.64986261021542
107.3515190692431,184.82240227347947
101.1081063018783,219.91549159112608
100.70914754790847,214.57504410997848
89.48457011688194,180.4061287868506
100.70914754790847,215.38827347234226
109.4765504565089,195.97968202717792
130.40061537646338,229.33427416762504
120.9679289495004,213.99380882818656
108.01529927339317,216.08545370773834
94.4632937554858,145.6339976022268
92.14122401629295,144.8420196060223
99.58053068182444,155.53416529157826
114.45918866578482,173.8973249470799
66.96660513993548,84.63981613103698
96.45859359150548,165.87722603595944
93.40199857438184,149.72514602129183
110.34080728568581,199.46657285111186
85.49836131308692,162.85796944089262
93.13667105803106,140.89093227421762
63.70125782746686,86.72807537627415
59.32780421311994,66.74262393058598
83.70447581293948,138.56625158045873
78.12584049776669,134.3820763477652
77.19575041352304,105.55886926064292
83.04117190636168,118.6916926802437
78.85597490745315,120.43597147911888
88.15550639436933,120.78500433361191
62.44974130343891,73.24877134958672
56.40533161548675,69.5322303457603
81.97792688207124,107.4193013598493
63.44570929564669,72.32027416048174
179.8182597307222,322.4287483957302
184.33561474909015,326.8449958390182
169.5890846885364,289.4213660759144
117.44701822091247,203.53475104351946
114.65817686089834,172.1548170953847
97.98567802968793,191.21427151269248
89.15144461797884,165.1808271007898
108.14799280016682,218.64218056875083
95.09394150976507,155.12788917382784
87.02543086697024,190.16894389639333
91.40278416769009,161.91660684139217
147.3389477901951,243.74723196491203
110.73927485778424,207.4850049884159
119.9061277022259,230.49752603143534
120.43630643735519,205.0443272543711
124.15622024535577,219.6884978320035
131.6618662321245,189.12273080650422
110.40616424318027,176.10590442718936
120.70211025127823,223.4075910832363
126.67971920471999,191.33032063966016
134.71701747223221,290.0025232276837
118.11227197067674,230.26542777749998
126.34806725143109,224.91810485435968
115.25517121483715,226.54633452626717
132.59293868011096,197.02589511706705
120.30362779488067,238.16781078783634
129.0710753563785,288.9562580511128
118.11227197067674,230.38147690446766
120.9679289495004,258.8554948770516
119.9724819077623,203.069616975377
139.1680182850638,229.7994603224493
127.41180345759292,191.7955067944844
144.18819469675398,235.22954898291079
129.47003411034834,201.44216860369593
142.75525345058986,215.62037172627763
138.43740757780506,212.01821307560246
121.29959578708844,180.52306338740823
113.39546734392212,169.132018605958
127.67713097394369,185.4036375552714
140.11663932172843,212.32026374314538
129.3373554678738,179.01088284246845
138.43740757780506,164.25154861145833
109.4765504565089,141.5864457357973
132.45150806974604,188.02943135630147
146.07669968649202,202.02340388548788
135.44811936136236,203.99978093829841
153.18340180359007,219.10736672357507
152.2962082694487,221.97984304943412
146.80632803000793,220.2696289404319
148.93235666531567,191.33032063966016
130.73176126358175,227.0105310341379
126.01592411627078,233.05336741885787
118.28396236117973,208.3989699933091
126.67971920471999,211.67006569469942
130.20112111517932,213.41267771975816
128.3409260623929,222.36127381998367
138.1057258559179,258.6226153228898
149.06500553919193,243.51325859043317
130.33376998905558,220.38489676717313
152.45227014586166,244.55957585368583
128.3409260623929,218.64218056875083
141.89196410085663,225.73211551694988
128.73939363449134,197.83823900584085
146.2766553610492,230.1493786505323
130.20112111517932,237.7035101066021
139.96449201598753,236.54036241615532
139.10069660008375,219.57244870503578
139.30019086136778,212.13426220257017
122.16432891383762,205.52982721508286
133.65472504308633,197.3740424979701
153.78038127322975,263.38792166401174
139.30019086136778,239.67910585918617
125.95009086120406,207.83403784290894
145.94306844887296,268.3853783457508
